ax,ay,az,gx,gy,gz,dt
0.0701,0.0054,0.9979,0.3277,0.6174,-0.6326,0.012000
0.0687,0.0059,0.9987,0.2287,0.5564,-0.5412,0.012000
0.0699,0.0053,0.9987,0.3277,0.5488,-0.5412,0.012000
0.0688,0.0056,0.9976,0.3735,0.5564,-0.5716,0.012000
0.0698,0.0043,0.9998,0.2287,0.5564,-0.5793,0.012000
0.0703,0.0042,1.0023,0.3277,0.4497,-0.6555,0.012000
0.0710,0.0055,0.9992,0.3430,0.5945,-0.6555,0.012000
0.0699,0.0048,1.0006,0.2515,0.5488,-0.5640,0.012000
0.0682,0.0049,0.9988,0.2668,0.5488,-0.5564,0.012000
0.0687,0.0079,1.0005,0.3049,0.6098,-0.4802,0.012000
0.0689,0.0052,1.0033,0.2820,0.5564,-0.5793,0.012000
0.0685,0.0071,0.9975,0.2973,0.5564,-0.5793,0.012000
0.0690,0.0043,1.0010,0.3430,0.5183,-0.6174,0.012000
0.0714,0.0032,0.9982,0.3354,0.5183,-0.5564,0.012000
0.0696,0.0051,1.0010,0.2820,0.6402,-0.5716,0.012000
0.0677,0.0043,1.0004,0.1753,0.6174,-0.5107,0.012000
0.0684,0.0049,0.9997,0.2896,0.5335,-0.5869,0.012000
0.0687,0.0046,1.0000,0.2668,0.5488,-0.5640,0.012000
0.0706,0.0059,1.0001,0.2896,0.5412,-0.5793,0.012000
0.0687,0.0070,1.0011,0.2896,0.5259,-0.6098,0.012000
0.0695,0.0053,0.9987,0.3354,0.5259,-0.5335,0.012000
0.0698,0.0063,1.0022,0.2439,0.5412,-0.5107,0.012000
0.0698,0.0075,1.0016,0.2439,0.5640,-0.5488,0.012000
0.0698,0.0060,0.9987,0.2973,0.5869,-0.5869,0.012000
0.0692,0.0047,0.9994,0.2591,0.5564,-0.5716,0.012000
0.0691,0.0051,0.9985,0.4040,0.5945,-0.5945,0.012000
0.0717,0.0046,0.9996,0.3049,0.5640,-0.5488,0.012000
0.0704,0.0065,0.9988,0.1753,0.5793,-0.6479,0.012000
0.0684,0.0077,0.9969,0.3201,0.5869,-0.6174,0.012000
0.0692,0.0063,1.0005,0.2744,0.5640,-0.6021,0.012000
0.0693,0.0071,1.0009,0.3354,0.4726,-0.5869,0.012000
0.0679,0.0060,1.0003,0.2439,0.4802,-0.5183,0.012000
0.0699,0.0035,1.0003,0.2591,0.6098,-0.5564,0.012000
0.0701,0.0040,0.9986,0.3659,0.6326,-0.5640,0.012000
0.0687,0.0032,1.0012,0.3201,0.6021,-0.5716,0.012000
0.0694,0.0059,1.0010,0.2591,0.5869,-0.6250,0.012000
0.0679,0.0052,1.0010,0.3049,0.5945,-0.5869,0.012000
0.0690,0.0046,1.0021,0.1753,0.5564,-0.6250,0.012000
0.0694,0.0048,1.0001,0.3277,0.5869,-0.5716,0.012000
0.0671,0.0044,0.9983,0.3277,0.6555,-0.5564,0.012000
0.0676,0.0065,0.9987,0.2515,0.5716,-0.5640,0.012000
0.0703,0.0047,0.9979,0.2744,0.5488,-0.4954,0.012000
0.0709,0.0048,0.9986,0.2363,0.5412,-0.5335,0.012000
0.0728,0.0057,1.0041,0.3887,0.6021,-0.4878,0.012000
0.0713,0.0051,0.9998,0.0991,0.5412,-0.5259,0.012000
0.0683,0.0046,1.0000,0.3430,0.5564,-0.4878,0.012000
0.0698,0.0048,1.0001,0.2896,0.6784,-0.6326,0.012000
0.0708,0.0045,1.0021,0.3506,0.6098,-0.5945,0.012000
0.0700,0.0052,1.0037,0.2973,0.6098,-0.5335,0.012000
0.0681,0.0050,0.9984,0.2820,0.6555,-0.5183,0.012000
0.0687,0.0059,1.0014,0.2896,0.5564,-0.5869,0.012000
0.0703,0.0054,0.9987,0.2744,0.5640,-0.5945,0.012000
0.0701,0.0038,1.0001,0.1982,0.5640,-0.6021,0.012000
0.0681,0.0040,1.0014,0.2820,0.6098,-0.5716,0.012000
0.0704,0.0045,0.9985,0.2287,0.4954,-0.6555,0.012000
0.0702,0.0029,1.0007,0.3049,0.6098,-0.5945,0.012000
0.0690,0.0043,1.0004,0.2973,0.6402,-0.5030,0.012000
0.0690,0.0056,0.9988,0.2058,0.5716,-0.4954,0.012000
0.0685,0.0046,1.0007,0.2287,0.5259,-0.6250,0.012000
